Название,Город,Зарплата (PLN),Тип занятости,Описание
Frontend Developer,Варшава,4000,Полный день,Разработка пользовательского интерфейса на React.
Backend Developer,Краков,4400,Частичная занятость,Разработка серверной части на Node.js.
UX/UI Designer,Вроцлав,4800,Удалёнка,Создание макетов и прототипов интерфейсов.
Project Manager,Гданьск,5100,Полный день,Управление проектами в сфере IT.
QA Engineer,Познань,5300,Частичная занятость,Тестирование веб-приложений.
DevOps Engineer,Варшава,5500,Удалёнка,Настройка CI/CD и инфраструктуры.
Fullstack Developer,Краков,5700,Полный день,Разработка фронта и бэка на MERN-стеке.
Data Analyst,Вроцлав,5900,Частичная занятость,Анализ данных и визуализация.
Mobile Developer,Гданьск,6200,Удалёнка,Разработка мобильных приложений на Flutter.
Support Specialist,Познань,6400,Полный день,Техническая поддержка пользователей.
Marketing Manager,Варшава,6600,Частичная занятость,Продвижение IT-продукта.
HR Specialist,Краков,7000,Удалёнка,Подбор и адаптация сотрудников.
System Administrator,Вроцлав,7500,Полный день,Обслуживание серверов и сетей.
Content Manager,Гданьск,7900,Частичная занятость,Создание и редактирование контента.
Product Owner,Познань,8400,Удалёнка,Определение и приоритизация фич.
Business Analyst,Варшава,8800,Полный день,Сбор и анализ требований.
Tech Lead,Краков,4000,Частичная занятость,Техническое руководство командой.
Scrum Master,Вроцлав,4400,Удалёнка,Организация Agile-процессов.
SMM Specialist,Гданьск,4800,Полный день,Ведение соцсетей компании.
Customer Success Manager,Познань,5100,Частичная занятость,Работа с клиентами и удержание.
Frontend Developer,Варшава,5300,Удалёнка,Разработка пользовательского интерфейса на React.
Backend Developer,Краков,5500,Полный день,Разработка серверной части на Node.js.
UX/UI Designer,Вроцлав,5700,Частичная занятость,Создание макетов и прототипов интерфейсов.
Project Manager,Гданьск,5900,Удалёнка,Управление проектами в сфере IT.
QA Engineer,Познань,6200,Полный день,Тестирование веб-приложений.
DevOps Engineer,Варшава,6400,Частичная занятость,Настройка CI/CD и инфраструктуры.
Fullstack Developer,Краков,6600,Удалёнка,Разработка фронта и бэка на MERN-стеке.
Data Analyst,Вроцлав,7000,Полный день,Анализ данных и визуализация.
Mobile Developer,Гданьск,7500,Частичная занятость,Разработка мобильных приложений на Flutter.
Support Specialist,Познань,7900,Удалёнка,Техническая поддержка пользователей.
Marketing Manager,Варшава,8400,Полный день,Продвижение IT-продукта.
HR Specialist,Краков,8800,Частичная занятость,Подбор и адаптация сотрудников.
System Administrator,Вроцлав,4000,Удалёнка,Обслуживание серверов и сетей.
Content Manager,Гданьск,4400,Полный день,Создание и редактирование контента.
Product Owner,Познань,4800,Частичная занятость,Определение и приоритизация фич.
Business Analyst,Варшава,5100,Удалёнка,Сбор и анализ требований.
Tech Lead,Краков,5300,Полный день,Техническое руководство командой.
Scrum Master,Вроцлав,5500,Частичная занятость,Организация Agile-процессов.
SMM Specialist,Гданьск,5700,Удалёнка,Ведение соцсетей компании.
Customer Success Manager,Познань,5900,Полный день,Работа с клиентами и удержание.
